step valloss
100 3.084376499056816
200 2.780544251203537
300 2.6309202909469604
400 2.5514947175979614
500 2.5078006386756897
600 2.4565316438674927
700 2.428451105952263
800 2.3939400017261505
900 2.3660950511693954
1000 2.3430473506450653
1100 2.333450421690941
1200 2.3154525458812714
1300 2.2994791716337204
1400 2.28544619679451
1500 2.2781286537647247
1600 2.271853357553482
1700 2.266009137034416
1800 2.2613815516233444
1900 2.252599850296974
2000 2.242869511246681
