step valloss
50 3.3953782320022583
100 3.226325184106827
150 2.9839643836021423
200 2.8805980533361435
250 2.8279054015874863
300 2.790249228477478
350 2.7609533220529556
400 2.723968580365181
450 2.6950809210538864
500 2.681584656238556
550 2.6729597747325897
600 2.661676272749901
