step valloss
50 3.3967880457639694
100 3.2006726413965225
150 2.9986752718687057
200 2.8928337693214417
250 2.8478673845529556
300 2.816969573497772
350 2.7912470549345016
400 2.7405954599380493
450 2.724682778120041
500 2.705247476696968
550 2.709376722574234
600 2.690341681241989
