step valloss
50 3.3951711505651474
100 3.198604926466942
150 2.965802162885666
200 2.862734094262123
250 2.8154442608356476
300 2.754734992980957
350 2.7226318567991257
400 2.688948020339012
450 2.6661255061626434
500 2.6478810161352158
550 2.6326872259378433
600 2.618508130311966
